step,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,train/global_tokens,train/grad_norm,train/loss,train/lr,train/mfu,train/total_tokens(B),val/loss
95,101.531,38.8101,42.1719,229072,0.124146,0.831065,2e-05,0.317208,0.0217826,
96,101.943,38.8101,42.1719,230406,0.128573,0.870007,2e-05,0.317097,0.022013,
97,102.421,38.8101,42.1719,229132,0.127232,0.938957,2e-05,0.316972,0.0222421,
98,102.228,38.8101,42.1719,227412,0.133934,0.890427,2e-05,0.317291,0.0224696,
99,102.925,38.8101,42.1719,229470,0.121521,0.846594,2e-05,0.317258,0.022699,
100,102.288,38.8101,42.1719,229877,0.127926,0.845045,2e-05,0.318328,0.0229289,0.961828
101,106.302,38.8101,42.1719,230131,0.128173,0.815826,2e-05,0.318186,0.023159,
102,105.983,38.8101,42.1719,230619,0.129895,0.919408,2e-05,0.317207,0.0233897,
103,105.943,38.8101,42.1719,229363,0.124362,0.876336,2e-05,0.317519,0.023619,
104,105.461,38.8101,42.1719,229049,0.132505,0.915304,2e-05,0.316779,0.0238481,
105,105.718,38.8101,42.1719,227639,0.135861,0.92817,2e-05,0.316423,0.0240757,
106,106.178,38.8101,42.1719,230265,0.125337,0.899858,2e-05,0.316984,0.024306,
107,108.465,38.8101,42.1719,229990,0.135541,0.858678,2e-05,0.317069,0.024536,
108,108.345,38.8101,42.1719,229598,0.131334,0.868951,2e-05,0.31705,0.0247656,
109,108.708,38.8101,42.1719,229437,0.131898,0.8722,2e-05,0.31704,0.024995,
110,108.708,38.8101,42.1719,229468,0.127692,0.906384,2e-05,0.316882,0.0252245,
111,108.676,38.8101,42.1719,229889,0.148195,0.854499,2e-05,0.317101,0.0254544,
112,108.968,38.8101,42.1719,229332,0.139737,0.886332,2e-05,0.317979,0.0256837,
113,109.302,38.8101,42.1719,229110,0.149678,0.862981,2e-05,0.316448,0.0259128,
114,109.386,38.8101,42.1719,229391,0.144389,0.913758,2e-05,0.317197,0.0261422,
115,111.525,38.8101,42.1719,229137,0.142513,0.86207,2e-05,0.317218,0.0263713,
116,111.565,38.8101,42.1719,229760,0.135299,0.880845,2e-05,0.317363,0.0266011,
117,111.916,38.8101,42.1719,228972,0.134827,0.930912,2e-05,0.317245,0.0268301,
118,111.948,38.8101,42.1719,229941,0.135254,0.853409,2e-05,0.316927,0.02706,
119,111.966,38.8101,42.1719,229839,0.125462,0.899298,2e-05,0.31775,0.0272898,
120,112.399,38.8101,42.1719,229477,0.137791,0.911788,2e-05,0.317173,0.0275193,
121,113.027,38.8101,42.1719,228929,0.161165,0.894201,2e-05,0.316741,0.0277482,
122,111.796,38.8101,42.1719,226875,0.136622,0.899065,2e-05,0.318532,0.0279751,
123,113.022,38.8101,42.1719,229199,0.136706,0.819432,2e-05,0.31717,0.0282043,
124,111.338,38.8101,42.1719,230411,0.135826,0.933313,2e-05,0.317702,0.0284347,
125,111.329,38.8101,42.1719,231366,0.134736,0.932444,2e-05,0.31732,0.0286661,0.9618
126,109.821,38.8101,42.1719,229887,0.14468,0.907259,2e-05,0.317851,0.028896,
127,109.851,38.8101,42.1719,227376,0.133533,0.877172,2e-05,0.317554,0.0291234,
128,109.896,38.8101,42.1719,228933,0.131506,0.904235,2e-05,0.316359,0.0293523,
129,107.951,38.8101,42.2891,231009,0.132739,0.944397,2e-05,0.316592,0.0295833,
130,109.178,38.8101,42.2891,230480,0.132302,0.882478,2e-05,0.317184,0.0298138,
131,113.961,38.8101,42.2891,230307,0.167739,0.861481,2e-05,0.31719,0.0300441,
132,112.851,38.8101,42.2891,228816,0.136125,0.875115,2e-05,0.317066,0.0302729,
133,112.871,38.8101,42.2891,228698,0.141182,0.856581,2e-05,0.316911,0.0305016,
134,111.887,38.8101,42.2891,227240,0.13867,0.881895,2e-05,0.316542,0.0307288,
135,112.151,38.8101,42.2891,230236,0.138433,0.89041,2e-05,0.317421,0.0309591,
136,112.222,38.8101,42.2891,228328,0.139764,0.847006,2e-05,0.317726,0.0311874,
137,111.079,38.8101,42.2891,229472,0.137832,0.857622,2e-05,0.316667,0.0314169,
138,110.68,38.8101,42.2891,228281,0.139213,0.861484,2e-05,0.316443,0.0316452,
139,113.729,38.8101,42.2891,228956,0.141806,0.910147,2e-05,0.316437,0.0318741,
140,112.212,38.8101,42.2891,228701,0.137509,0.900667,2e-05,0.317011,0.0321028,
141,112.199,38.8101,42.2891,230014,0.132582,0.914428,2e-05,0.317417,0.0323328,
142,110.819,38.8101,42.2891,229195,0.137117,0.861686,2e-05,0.316661,0.032562,
143,110.818,38.8101,42.2891,229191,0.139732,0.866767,2e-05,0.316795,0.0327912,
144,110.774,38.8101,42.2891,228698,0.138472,0.917369,2e-05,0.316921,0.0330199,
145,109.423,38.8101,42.2891,229391,0.139302,0.890623,2e-05,0.317767,0.0332493,
146,110.055,38.8101,42.2891,230135,0.135854,0.917734,2e-05,0.317304,0.0334794,
147,114.147,38.8101,42.2891,228936,0.142485,0.864977,2e-05,0.316846,0.0337084,
148,112.925,38.8101,42.2891,231517,0.139155,0.89726,2e-05,0.317338,0.0339399,
149,112.897,38.8101,42.2891,228630,0.138679,0.869405,2e-05,0.316964,0.0341685,
150,112.248,38.8101,42.2891,228986,0.139282,0.869852,2e-05,0.316584,0.0343975,0.962974
151,112.003,38.8101,42.2891,229054,0.137833,0.871107,2e-05,0.318057,0.0346266,
152,112.288,38.8101,42.2891,228347,0.141565,0.862752,2e-05,0.316611,0.0348549,
153,111.33,38.8101,42.2891,229625,0.136865,0.868903,2e-05,0.316859,0.0350845,
154,110.513,38.8101,42.2891,228631,0.148773,0.960106,2e-05,0.316861,0.0353132,
155,113.899,38.8101,42.2891,229820,0.139615,0.870494,2e-05,0.317001,0.035543,
156,112.271,38.8101,42.2891,228159,0.139717,0.89284,2e-05,0.317263,0.0357711,
157,112.319,38.8101,42.2891,228187,0.141051,0.907907,2e-05,0.317094,0.0359993,
158,111.105,38.8101,42.2891,229202,0.140296,0.904896,2e-05,0.316772,0.0362285,
159,111.119,38.8101,42.2891,228280,0.148169,0.88579,2e-05,0.317144,0.0364568,
160,111.155,38.8101,42.2891,228325,0.143975,0.910238,2e-05,0.315504,0.0366851,
161,110.029,38.8101,42.2891,229989,0.14539,0.854923,2e-05,0.31817,0.0369151,
162,110.146,38.8101,42.2891,230328,0.144671,0.908999,2e-05,0.317447,0.0371455,
163,111.646,38.8101,42.2891,228754,0.192893,0.927439,2e-05,0.31734,0.0373742,
164,107.709,38.8101,42.2891,229737,0.145435,0.956153,2e-05,0.317049,0.0376039,
165,103.748,38.8101,42.2891,229057,0.137576,0.841188,2e-05,0.317162,0.037833,
166,99.8037,38.8101,42.2891,229637,0.163604,0.855444,2e-05,0.316503,0.0380626,
167,95.8096,38.8101,42.2891,229425,0.142364,0.915832,2e-05,0.316391,0.0382921,
168,91.8402,38.8101,42.2891,229687,0.142452,0.91702,2e-05,0.316723,0.0385218,
169,87.8741,38.8101,42.2891,229549,0.147081,0.929858,2e-05,0.316707,0.0387513,
170,83.9056,38.8101,42.2891,228575,0.14112,0.925176,2e-05,0.316469,0.0389799,
171,79.9331,38.8101,42.2891,228672,0.148201,0.916586,2e-05,0.318262,0.0392085,
172,75.9963,38.8101,42.2891,230344,0.192403,0.885688,2e-05,0.317037,0.0394389,
173,72.0107,38.8101,42.2891,230683,0.139535,0.817013,2e-05,0.317026,0.0396696,
174,68.0222,38.8101,42.2891,228986,0.144981,0.835763,2e-05,0.316604,0.0398986,
175,64.0553,38.8101,42.2891,229834,0.160562,0.861316,2e-05,0.316807,0.0401284,0.963203
176,60.1423,38.8101,42.2891,230807,0.140665,0.913275,2e-05,0.31825,0.0403592,
177,56.1347,38.8101,42.2891,228787,0.160509,0.86901,2e-05,0.316873,0.040588,
178,52.1574,38.8101,42.2891,229868,0.143247,0.888547,2e-05,0.316917,0.0408179,0.963355
