step,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,train/global_tokens,train/grad_norm,train/loss,train/lr,train/mfu,train/total_tokens(B),val/loss
114,98.7221,38.9251,42.2305,231673,0.118054,0.826622,0.0001,0.31706,0.00900508,
115,99.4657,38.9251,42.2305,229947,0.119516,0.910327,0.0001,0.316681,0.00923503,
116,101.107,38.9251,42.2305,230534,0.120166,0.835436,0.0001,0.317184,0.00946556,
117,100.579,38.9251,42.2305,227935,0.125771,0.880403,0.0001,0.316901,0.0096935,
118,100.673,38.9251,42.2305,232526,0.121341,0.866854,0.0001,0.31738,0.00992602,
119,100.95,38.9251,42.2305,229728,0.123135,0.863863,0.0001,0.317542,0.0101558,
120,100.367,38.9251,42.2305,229249,0.125143,0.929137,0.0001,0.318083,0.010385,
121,99.5284,38.9251,42.2305,231189,0.139314,0.853773,0.0001,0.317852,0.0106162,
122,99.8262,38.9251,42.2305,232169,0.126153,0.906178,0.0001,0.317965,0.0108484,
123,96.8168,38.9251,42.2305,230185,0.131771,0.900495,0.0001,0.318875,0.0110785,
124,95.1854,38.9251,42.2305,230580,0.126285,0.953291,0.0001,0.317652,0.0113091,
125,91.2355,38.9251,42.2305,229542,0.120764,0.870363,0.0001,0.317295,0.0115387,0.92138
126,87.261,38.9251,42.2305,230391,0.124739,0.893581,0.0001,0.31811,0.0117691,
127,83.2917,38.9251,42.2305,231407,0.127926,0.905557,0.0001,0.317156,0.0120005,
128,79.3018,38.9251,42.2305,230326,0.121414,0.798654,0.0001,0.316749,0.0122308,
129,75.3383,38.9251,42.2305,228246,0.129272,0.853515,0.0001,0.317138,0.012459,
130,71.4106,38.9251,42.2305,229981,0.129848,0.857408,0.0001,0.317148,0.012689,
131,67.4571,38.9251,42.2305,231382,0.125327,0.947886,0.0001,0.31696,0.0129204,
132,63.48,38.9251,42.2305,231088,0.128694,0.876946,0.0001,0.317007,0.0131515,
133,59.5,38.9251,42.2305,230220,0.123772,0.810644,0.0001,0.316658,0.0133817,
134,55.5382,38.9251,42.2305,232660,0.120488,0.826567,0.0001,0.317066,0.0136144,
135,51.5383,38.9251,42.2305,229852,0.12353,0.879531,0.0001,0.316855,0.0138442,
136,47.5941,38.9251,42.2305,231223,0.120868,0.839913,0.0001,0.318154,0.0140754,
137,43.6205,38.9251,42.2305,231420,0.125769,0.885146,0.0001,0.317004,0.0143069,
138,39.6439,38.9251,42.2305,229766,0.126782,0.848615,0.0001,0.316967,0.0145366,0.922764
